Wavenumber,Absorbance
1913.35718,8.84E-04
1911.42861,8.89E-04
1909,8.92E-04
1907.07144,8.90E-04
1905.14287,8.90E-04
1903.21431,8.91E-04
1901.28574,8.89E-04
1899.35718,8.87E-04
1897.42861,8.84E-04
1896,8.82E-04
1894.07144,8.81E-04
1892.14287,8.81E-04
1890.21431,8.83E-04
1888.28574,8.90E-04
1886.35718,8.93E-04
1884.42861,8.90E-04
1882,8.85E-04
1880.07144,8.85E-04
1878.14287,8.87E-04
1876.21431,8.87E-04
1874.28574,8.87E-04
1872.35718,8.88E-04
1870.42861,8.88E-04
1869,8.86E-04
1867.07144,8.83E-04
1865.14287,8.81E-04
1863.21431,8.80E-04
1861.28574,8.80E-04
1859.35718,8.81E-04
1857.42861,8.88E-04
1855,8.97E-04
1853.07144,8.99E-04
1851.14287,8.96E-04
1849.21431,8.95E-04
1847.28574,8.94E-04
1845.35718,8.92E-04
1843.42861,8.89E-04
1842,8.84E-04
1840.07144,8.84E-04
1838.14287,8.89E-04
1836.21431,8.95E-04
1834.28574,8.96E-04
1832.35718,8.94E-04
1830.42861,8.93E-04
1828,8.90E-04
1826.07144,8.87E-04
1824.14287,8.85E-04
1822.21431,8.84E-04
1820.28574,8.83E-04
1818.35718,8.81E-04
1816.42861,8.83E-04
1815,8.91E-04
1813.07144,8.99E-04
1811.14287,8.99E-04
1809.21431,8.95E-04
1807.28574,8.93E-04
1805.35718,8.92E-04
1803.42861,8.94E-04
1801,8.97E-04
1799.07144,8.95E-04
1797.14287,8.89E-04
1795.21431,8.88E-04
1793.28574,8.93E-04
1791.35718,8.96E-04
1789.42861,8.94E-04
1788,8.89E-04
1786.07144,8.85E-04
1784.14287,8.80E-04
1782.21431,8.80E-04
1780.28574,8.88E-04
1778.35718,8.98E-04
1776.42861,9.05E-04
1774,9.06E-04
1772.07144,9.04E-04
1770.14287,8.98E-04
1768.21431,8.91E-04
1766.28574,8.92E-04
1764.35718,8.97E-04
1762.42861,8.99E-04
1761,9.00E-04
1759.07144,8.99E-04
1757.14287,8.94E-04
1755.21431,8.91E-04
1753.28574,8.94E-04
1751.35718,8.97E-04
1749.42861,8.98E-04
1747,9.02E-04
1745.07144,9.05E-04
1743.14287,9.04E-04
1741.21431,9.04E-04
1739.28574,9.09E-04
1737.35718,9.14E-04
1735.42861,9.12E-04
1734,9.06E-04
1732.07144,9.06E-04
1730.14287,9.08E-04
1728.21431,9.06E-04
1726.28574,9.02E-04
1724.35718,9.03E-04
1722.42861,9.03E-04
1720,9.02E-04
1718.07144,9.06E-04
